fips,pollutant,year,pred_wght,state_abbr,lat,lon
33001,pm25,2015,4.95385416888563,NH,43.5173994890827,-71.4406685627746
33003,pm25,2015,4.66540152306663,NH,43.8109734409637,-71.1663953302104
33005,pm25,2015,5.76176640870366,NH,42.8982634814632,-72.2627868628188
33007,pm25,2015,4.66353437543488,NH,44.5500630555135,-71.3628354863107
33009,pm25,2015,4.8483150333266,NH,43.8388755683476,-71.9528957550663
33011,pm25,2015,6.11508830093756,NH,42.8798904512117,-71.5329841420839
33013,pm25,2015,5.28289750793813,NH,43.2464402021237,-71.5863665642391
33015,pm25,2015,5.64028220897423,NH,42.9367260836723,-71.104117010531
33017,pm25,2015,5.76747881235637,NH,43.2476450127088,-70.9550025263312
33019,pm25,2015,5.14042845503178,NH,43.3674245942115,-72.2593065291939
34001,pm25,2015,7.50533669436057,NJ,39.4275630779934,-74.5835460369552
34003,pm25,2015,9.05985740165901,NJ,40.918800218646,-74.0574063449326
34005,pm25,2015,8.7182824009324,NJ,39.9826676246953,-74.8342590182603
34007,pm25,2015,9.36629533293618,NJ,39.8640104818975,-75.0278782812266
34009,pm25,2015,7.17516602231018,NJ,39.0959539094227,-74.8069743628232
34011,pm25,2015,8.27312400451249,NJ,39.4282841017731,-75.0877328799602
34013,pm25,2015,9.48870949406163,NJ,40.7687056034103,-74.2164066266651
34015,pm25,2015,8.86373505241287,NJ,39.7491862280081,-75.1275048219142
34017,pm25,2015,9.83509422202987,NJ,40.742925671879,-74.0612631504763
34019,pm25,2015,8.28475424927347,NJ,40.5721829893494,-74.8967768513974
34021,pm25,2015,8.80007432977821,NJ,40.2555689298879,-74.7003327030692
34023,pm25,2015,9.03069663050806,NJ,40.4855305591844,-74.3878794659064
34025,pm25,2015,8.06339794982392,NJ,40.2913014326279,-74.147725768584
34027,pm25,2015,7.86213245805199,NJ,40.8595517819272,-74.5016405642363
34029,pm25,2015,7.76820955960019,NJ,39.9736586488647,-74.2145682793153
34031,pm25,2015,9.04380157687351,NJ,40.9253616737759,-74.1915300235822
34033,pm25,2015,8.54281862945084,NJ,39.625938145968,-75.3766495225701
34035,pm25,2015,8.49075088837635,NJ,40.5611767635201,-74.5787809793967
34037,pm25,2015,7.23509578320437,NJ,41.0912194586809,-74.6539752828861
34039,pm25,2015,9.60877192921143,NJ,40.6596091465222,-74.294232862503
34041,pm25,2015,8.56613150820668,NJ,40.7951631785228,-75.0162947953851
35001,pm25,2015,4.46184882021963,NM,35.1078780356313,-106.6160381216
35003,pm25,2015,2.5756095114094,NM,33.9280950067114,-108.548515436242
35005,pm25,2015,6.30302766014167,NM,33.3646521395384,-104.512632508188
35006,pm25,2015,3.24327447800683,NM,35.1139770477345,-107.804551501121
